species;decimallat;decimallon
Papilio machaon;50.92411;4.529540000000000
Papilio machaon;50.87721;4.670150000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;50.92216;4.671760000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.12984;5.608310000000000
Papilio machaon;50.75362;3.389840000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.96497;4.815720000000000
Papilio machaon;50.84406;3.177540000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.10088;4.749620000000000
Papilio machaon;50.79910;2.822620000000000
Papilio machaon;50.96606;4.744550000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.19470;4.466920000000000
Papilio machaon;50.87821;4.599110000000000
Papilio machaon;51.27472;5.114660000000000
Papilio machaon;51.18967;4.824540000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;50.97904;3.106830000000000
Papilio machaon;51.05799;4.605300000000000
Papilio machaon;51.19181;4.681500000000000
Papilio machaon;50.83227;4.668550000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.79832;3.461160000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.75271;3.602480000000000
Papilio machaon;50.83680;4.313650000000000
Papilio machaon;51.00761;4.959930000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.75414;2.822790000000000
Papilio machaon;51.22979;5.112600000000000
Papilio machaon;50.87721;4.670150000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;51.05594;4.747920000000000
Papilio machaon;50.91891;4.885060000000000
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
Papilio machaon;;
